date,max_ratio,max_ratio_hi,max_ratio_lo
2020-08-23,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-08-30,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-09-06,1169.057026694199,1333.8241495773457,1027.0725817855925
2020-09-13,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-09-20,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-09-27,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-10-04,1087.4949085527435,1241.8362771927011,954.5733407183743
2020-10-11,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-10-18,1223.4317721218365,1395.1493978337753,1075.405409163738
2020-10-25,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-11-01,1114.6822812665619,1272.4989013209158,978.7397544074471
2020-11-08,1060.3075358389249,1211.1736530644864,930.4069270293015
